Departement,prev,Ammoniac (NH3),Demande chimique en oxygène (DCO),Demande biologique en oxygène (DBO5),Azote total (N),Benzo[a]pyrène (benzo[d - e - f]chrysène),Nickel et ses composés (Ni),Phosphore total (P),Zinc et ses composés (Zn),Di(2-éthylhexyle)phtalate (DEHP),Carbone organique total (COT),Oxydes de soufre (SOx - SO2 + SO3) (en eq. SO2),CO2 Total d'origine non biomasse uniquement,Matières en suspension (MES),Diuron,Cuivre et ses composés (Cu),Chrome et ses composés (Cr),Mercure et ses composés (Hg),Plomb et ses composés (Pb),Benzo(b)fluoranthène,Arsenic et ses composés (As),CO2 Total (CO2 d'origine biomasse et non biomasse),Protoxyde d'azote (N2O),Poussières totales (TSP),1 - 2-dichloroéthane (DCE - chlorure d'éthylène),Composés organiques volatils non méthaniques (COVNM),CO2 Total d'origine biomasse uniquement,Méthane (CH4),Composés organohalogénés (AOX),Oxyde d'éthylène (oxiranne),Dichlorométhane (DCM - chlorure de méthylène),Vanadium et ses composés,Chlore et composés inorganiques (HCl),Oxydes d'azote (NOx - NO + NO2) (en eq. NO2),Thallium et ses composés,1 - 4-dioxane,Cyanures (CN total),Benzo(k)fluoranthène,Benzène,Xylènes,Particules de taille inférieure à 10 µm (PM10),Tétrachlorure de carbone (TCM - tétrachlorométhane),Chrome hexavalent et ses composés,Sulfonate de PerFluoroOctane - SPFO (C8F17SO2X),Trichlorobenzènes (TCB),Dioxines et furanes (PCDD + PCDF) (exprimés en iTeq),Manganèse et ses composés (Mn),Cadmium et ses composés (Cd),Nonylphénols,Acide cyanhydrique (HCN),Hydrochlorofluorocarbures (HCFC),Aldéhyde formique (formaldéhyde),Antimoine et ses composés (Sb),Fluor et composés inorganiques (HF),Chlorure de vinyle (chloroéthylène - monochlorure de vinyle - CVM)),Hydroflurocarbures (HFC),Phénols (Ctotal),Perfluorocarbures (PFC),Aluminium et ses composés (Al),Monoxyde de carbone (CO),Cobalt et ses composés (Co),Lindane,Fluorures (F total),Trichloroéthylène (TRI),Hydrocarbures aromatiques polycycliques (HAP),Biphényles polychlorés (PCB),Chloroforme (trichlorométhane),Fer et ses composés (Fe),1 - 3-butadiène,Naphthalène,Chlorofluorocarbures (CFC),Tétrachloroéthylène (PER - perchloroéthylène),Titane et ses composés (Ti),Indeno(1 - 2 - 3-cd)pyrène,Méthanol (alcool méthylique),Toluène,Octylphénols,Sulfates,Hydrazine,Fluoranthène,Sulfure d'hydrogène (H2S),Chlorures (Cl total),Diphénylethers bromés,Halons,Hexachlorocyclohexane (HCH),Sulfure de carbone,Hexachlorobutadiène (HCBD),Hexafluorure de soufre (SF6),Chlorpyriphos,Hydrocarbures (C total),Acrylonitrile,Acétaldéhyde (aldéhyde acétique – éthanal),1 - 1 - 1-trichloroéthane (TCE),Aniline,Isoproturon,Benzène -  toluène -  éthylbenzène -  xylènes (BTEX),Etain et ses composés (Sn),Alachlore,Chlorométhane (chlorure de méthyle),Trifluorure d'azote (NF3),Hexabromobiphényle,Epichlorhydrine (1-chloro-2 - 3-époxypropane),Benzo(g - h - i)pérylène,Oxyde de propylène (1-2 époxypropane),Endosulfan,Hexachlorobenzène (HCB),Crésol (mélange d'isomères),Annee Polluants,Chloroalcanes (C10-13),Hydroxyde d'ammonium (NH4+),Tributylétain et composés,Chlordécone,Anthracène,1 - 1 - 2 - 2-tetrachloroéthane,Simazine,DDT total (y compris les métabolites DDD et DDE),Pentachlorobenzène,Atrazine,Isodrine,Pentachlorophénol (PCP),Endrine,Chlorfenvinphos,Dieldrine,Composés organostanniques (Sn),Toxaphène,Mirex,Aldrine,Triphénylétain et composés,PCBi : somme des 7 PCB indicateurs (PCB 28+PCB 52+PCB 101+PCB 118+PCB 138+PCB 153+PCB 180),Amiante,Sélénium,Ethylbenzène,Cluster
AIN,2.81087212668612,392714.28571428574,947428.5714285715,370314.28571428574,157714.2857142857,5.714285714285715e-05,90.54285714285713,73884.28571428571,14625.714285714286,0.0,0.0,767571.4285714285,530014.2857142857,53714.28571428572,0.21285714285714286,550.6857142857143,43.357142857142854,4.411428571428571,359.9428571428572,5.714285714285715e-05,33.41428571428572,640314.2857142857,6614.285714285715,0.0,0.0,1066257.142857143,110414.28571428571,1233142.857142857,568.5714285714286,0.0,58491.24285714286,7.39,10185.714285714286,714285.7142857143,0.06142857142857143,545.7142857142857,15.571428571428571,5.714285714285715e-05,0.0,0.24657142857142858,0.0,0.00028571428571428574,20.857142857142858,0.0,74.71428571428571,5.613142857142857,226.28571428571428,17.454285714285714,0.049242857142857144,0.0,9.142857142857142,0.0,0.0,1104.2857142857142,14740.942857142858,6076.142857142857,42.34285714285714,0.0,0.0,0.0,0.0,0.0,8308.57142857143,0.0,0.0,0.4422857142857143,1405.4857142857143,0.0,0.0,92.71428571428571,0.0,11361.442857142858,0.0,5.714285714285715e-05,0.0,29.571428571428573,0.0036428571428571426,0.0,0.0,0.0,0.0,2520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,0.0,23400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07014285714285715,0.0,0.0,0.0,0
AISNE,2.6908463876685857,105486.37571428572,1803714.2857142857,294485.71428571426,199242.85714285713,0.015720857142857144,335.54285714285714,5635.714285714285,12870.57142857143,67.67142857142856,39571.42857142857,167571.42857142858,676028.5714285715,0.0,0.0,3325.657142857143,862.5714285714286,15.478571428571428,1284.0,0.02000657142857143,91.78571428571429,942071.4285714285,9557.142857142857,30714.285714285714,2208.8971428571426,666728.5714285715,266285.71428571426,1565857.142857143,6801.428571428572,0.0,60113.12857142858,0.0,0.0,685857.1428571428,5.428571428571429,0.0,0.0,3.571428571428572e-05,0.0,0.0013285714285714285,0.0,0.004285714285714286,26.0,0.0,0.0,0.02085714285714286,70.57142857142857,56.69314285714286,1.2642857142857142,0.0,16.0,2122.8571428571427,45.714285714285715,0.0,0.0,16.857142857142858,34.51428571428571,0.0,0.0,3865714.285714286,1.0371428571428571,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25628.571428571428,0.0,0.6328571428571428,3110000.0,0.0,0.0,0.0,3454.285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3071.4285714285716,0.0,0.0,0.0,0.0,0.39999999999999997,0.0,0.0,0.0,13000.0,0.0,0.39999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ALLIER,3.2569551238534595,88856.27142857143,1720428.5714285714,539728.5714285715,90300.0,0.0,165.12857142857143,62558.57142857143,3091.0,0.0,0.0,0.0,517314.28571428574,45285.71428571428,0.0,745.5285714285714,83.64285714285714,9.317142857142857,326.5285714285714,0.0,194.7357142857143,587700.0,0.0,0.0,0.0,440828.5714285714,70214.28571428571,2050142.857142857,2052.8571428571427,0.0,26385.428571428572,26.987714285714283,0.0,561857.1428571428,0.6062857142857142,0.0,7.385714285714286,0.0,0.0,0.0,0.0,0.0,14.428571428571429,0.0,0.0,0.13014285714285714,1200.7142857142858,5.439192857142857,1.3514285714285716,589.8571428571429,224.14285714285714,0.0,0.0,0.0,0.0,214.14285714285714,64.01428571428572,0.0,0.0,383142.85714285716,18.801428571428573,0.0,1437.142857142857,0.0,0.0,0.2852857142857143,0.0,16522.85714285714,0.0,221.57142857142858,0.0,0.0,0.0,0.0,12928.57142857143,0.0,0.0,2812857.1428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91428.57142857143,0.0,0.0,0
ARDECHE,2.776400412606539,32157.14285714286,205142.85714285713,81557.14285714286,11971.42857142857,0.0,299.85714285714283,0.0,253.42857142857142,0.0,0.0,771571.4285714285,753500.0,0.0,0.0,103.14285714285714,35.0,6.0,40.285714285714285,0.0,3.414285714285714,780928.5714285715,0.0,0.0,0.0,352542.85714285716,27485.714285714286,314142.85714285716,0.0,0.0,1515.7142857142858,2.6371428571428575,0.0,1562571.4285714286,0.18,0.0,0.0,0.0,1497.142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7428571428571427,0.0,573.4285714285714,0.0,0.0,0.0,0.0,0.0,16154.57142857143,222.85714285714286,0.0,0.0,0.0,176.95857142857145,0.0,0.0,0.0,0.0,0.0,0.0,1071.4285714285713,0.0,185.57142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.32857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ARDENNES,3.01507130880767,91285.71428571429,327857.14285714284,7014.285714285715,46771.42857142857,1.1428571428571429e-05,2469.6142857142854,3731.4285714285716,21541.428571428572,0.6842857142857143,0.0,278285.71428571426,307485.71428571426,0.0,0.0,1278.1142857142856,4046.8571428571427,7.248571428571429,317.04285714285714,4.428571428571428e-05,0.0,362914.28571428574,0.0,54857.142857142855,0.0,1236700.0,55471.42857142857,660000.0,2755.714285714286,0.0,10522.857142857143,0.07571671428571429,0.0,376714.28571428574,0.07571428571428572,0.0,7.214285714285714,0.0,3245.714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.1697142857142857,0.0,26.145714285714284,0.0,0.0,21.514285714285712,52671.42857142857,3.528571428571429,0.0,0.0,0.0,2861.4285714285716,0.0,0.0,1028571.4285714285,27.96857142857143,0.0,0.0,0.0,505.2714285714286,0.0,0.0,3860.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ARIEGE,2.797906840512654,0.0,1462714.2857142857,402471.4285714286,97442.85714285714,0.0,63.628571428571426,15582.857142857143,1996.5714285714287,0.0,0.0,0.0,32200.0,125571.42857142857,0.0,86.51428571428572,26.142857142857142,0.14857142857142858,0.0,0.0,25.714285714285715,36314.28571428572,0.0,0.0,0.0,32428.571428571428,4114.285714285715,0.0,201.42857142857142,0.0,319.2857142857143,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.18571428571428572,0.0,0.0,0.0,0.0,421.42857142857144,0.31428571428571433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1543.2,0.0,1250.0,0.0,0.0,0.0,0.0,3.7142857142857144,0.0,0.0,3.085714285714286,527.1428571428571,0.0,0.0,0.0,17068.14285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,6.714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AUBE,2.730699657934595,136688.5857142857,1908714.2857142857,625542.8571428572,235000.0,0.00014285714285714287,78.94285714285715,45335.71428571428,980.7142857142857,0.0,360671.4285714286,25142.85714285714,410757.14285714284,0.0,0.0,318.3285714285715,0.0,1.3914285714285715,50.42857142857143,0.0,2.4285714285714284,531457.1428571428,0.0,129857.14285714286,0.0,1087171.4285714286,120971.42857142857,1113571.4285714286,0.0,0.0,13457.142857142857,0.015714285714285715,0.0,78714.28571428571,0.01,0.0,0.0,0.004571428571428572,0.0005714285714285715,0.0,0.0,0.0,18.900000000000002,0.0,0.0,0.0,0.0,0.38699999999999996,0.0,0.0,36.857142857142854,0.0,2.742857142857143,0.0,0.0,0.0,0.0,0.0,492.85714285714283,0.0,9.891428571428571,0.0,0.0,0.00028571428571428574,0.0,0.022857142857142857,0.0,0.0,0.0,0.0,0.0,0.00028571428571428574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3316.8571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AUDE,2.6812361982402853,77485.71428571429,192428.57142857142,0.0,15142.857142857143,0.002857142857142857,20.142857142857142,1537.142857142857,259.7142857142857,4.441428571428571,0.0,0.0,503057.14285714284,0.0,0.38,59.42857142857143,0.0,0.39999999999999997,0.0,0.0,17.685714285714287,543742.8571428572,383714.28571428574,0.0,0.0,93257.14285714286,40814.28571428572,919428.5714285715,0.0,0.0,8.12857142857143,20.43,7085.714285714285,804142.8571428572,0.0012857142857142856,0.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0,0.05142857142857143,0.0,0.0,0.0,0.0,0.030571428571428572,797.2857142857143,0.0,0.0,0.0,2160.0,0.0,0.0,3.2857142857142856,0.0,0.0,1385142.857142857,33.57142857142857,0.0,0.0,0.0,0.0,0.0,0.2928571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334.2857142857143,0.016999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AVEYRON,2.596466981553615,10354.328571428572,2825285.714285714,1399728.5714285714,117785.71428571429,0.0,132.52857142857144,92775.71428571429,1951.7142857142858,0.0,185928.57142857142,0.0,1442.857142857143,0.0,0.0,215.5142857142857,827.4571428571428,0.0,189.18571428571428,0.0,0.7771428571428572,1442.857142857143,0.0,0.0,0.0,58742.857142857145,0.0,797000.0,0.0,0.0,0.0,0.005714285714285714,0.0,0.0,0.09714285714285713,0.0,0.0,0.0,0.0,0.006285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.054285714285714,0.0,0.0,186.21428571428572,0.0,0.0,0.0,0.0,239.28571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.28571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,816.4285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CALVADOS,2.692163794145756,21892.324285714287,1273428.5714285714,568114.2857142857,96285.71428571429,0.0,291.0142857142857,80211.42857142857,4587.714285714285,0.0,45000.0,403571.4285714286,490028.5714285714,147142.85714285713,0.0,1547.814285714286,81.27142857142857,6.587142857142857,202.58571428571426,0.0,70.48571428571428,599785.7142857143,0.0,0.0,0.0,171600.0,109700.0,1844428.5714285714,0.0,0.0,0.0,0.03257142857142857,0.0,586000.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,543.4285714285714,0.20285714285714285,4.554285714285714,0.0,137.49285714285716,564.2857142857143,2.3428571428571425,0.0,0.0,62.42857142857143,46.0,445.85714285714283,0.0,0.0,0.0,0.0,841.4285714285714,568.6428571428571,0.0,0.29,0.0,827.1428571428571,0.0,0.0,0.0,1115.4285714285713,60.142857142857146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.857142857143,0.0,0.0,0.0,0.0,0.0,185.0142857142857,0.0,0.0,0.0,130.28571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CANTAL,3.551817361246954,2457.1428571428573,47285.71428571428,73328.57142857143,0.0,0.0,212.85714285714286,0.0,0.0,0.0,0.0,0.0,10528.57142857143,0.0,0.0,17.857142857142858,141.02857142857144,0.0,10.457142857142857,0.0,0.0,24471.428571428572,0.0,0.0,0.0,43385.71428571428,13942.857142857143,0.0,0.0,0.0,0.0,0.00967142857142857,0.0,0.0,0.07775714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CHARENTE,2.624171984069608,53114.28571428572,834571.4285714285,359357.14285714284,54885.71428571428,0.0,58.300000000000004,8420.0,677.5714285714286,0.0,0.0,1197142.857142857,868657.1428571428,0.0,0.0,59.82857142857143,51.0,1.457142857142857,114.28571428571429,0.0,67.4,934642.8571428572,0.0,0.0,0.0,4041971.4285714286,66028.57142857143,468285.71428571426,0.0,0.0,0.0,4.571428571428571,13742.857142857143,1431857.142857143,7.675714285714286,0.0,0.0,0.0,1152.857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.220185714285714,32.44289285714286,0.0,49.800000000000004,0.0,4.414285714285714,18207.14285714286,0.0,134.28571428571428,0.0,0.0,2710.0,0.0,5.885714285714286,0.0,0.0,0.0,0.0,0.15414285714285714,0.0,40314.28571428572,0.0,66.71428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028571428571428574,0.0,3.185714285714286,0.0,0
CHARENTE-MARITIME,2.6559550162346475,15457.142857142857,2268571.4285714286,1151357.142857143,827400.0,0.0,194.08571428571432,11640.0,2140.0,0.0,0.0,74285.71428571429,575771.4285714285,424428.5714285714,0.0,1281.2857142857142,151.0,13.944285714285714,474.0857142857143,0.0,8.328571428571427,696642.8571428572,0.0,0.0,0.0,170114.2857142857,120814.28571428571,523142.85714285716,0.0,0.0,0.0,0.8292857142857143,0.0,789428.5714285715,1.0092857142857141,0.0,0.0,0.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.57142857142857,4.874285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.571428571428573,22.25714285714286,0.0,0.0,0.0,19.357142857142858,0.0,1861.4285714285713,925.7142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CHER,2.729209982175875,180823.14285714287,23714.285714285714,11428.57142857143,0.0,3.6e-05,3.1714285714285713,0.0,444.7142857142857,0.0,0.0,835714.2857142857,397485.71428571426,0.0,0.0,76.85714285714286,0.0,0.0,0.0,3.928571428571429e-05,0.0,418171.4285714286,0.0,0.0,0.0,43271.42857142857,20585.714285714286,820000.0,0.0,0.0,0.0,0.33428571428571424,0.0,590142.8571428572,0.0,0.0,0.0,1.742857142857143e-05,3321.4285714285716,0.006142857142857143,0.0,0.0,0.0,0.028608571428571428,0.0,0.0,253.85714285714286,4.628571428571428,0.0,384.57142857142856,428.57142857142856,0.0,2.3714285714285714,0.0,0.0,30.857142857142858,0.0,0.0,0.0,0.0,22.085714285714285,0.014285714285714287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.285714285714285,0.0,3498.5714285714284,0.0,2.1857142857142857e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.4285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CORREZE,2.6759642210966272,0.0,1516285.7142857143,731814.2857142857,7942.857142857143,0.0,0.0,0.0,401.0,0.0,0.0,0.0,46728.57142857143,0.0,0.0,66.25714285714285,76.42857142857143,0.2285714285714286,0.0,0.0,0.0,1206800.0,0.0,23000.0,0.0,51085.71428571428,1163628.5714285714,185571.42857142858,0.0,0.0,0.0,0.03742857142857143,0.0,32285.714285714286,0.2362857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2855714285714286,0.0,0.2285714285714286,659.1428571428571,0.0,0.0,0.0,93.80714285714286,5432.857142857143,8.5,0.0,0.0,258.85714285714283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7142857142857142,1718.5714285714287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CORSE-DU-SUD,3.3436836310197577,15600.0,0.0,0.0,0.0,0.0,1160.2857142857142,0.0,266.14285714285717,0.0,0.0,1053428.5714285714,452142.85714285716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452142.85714285716,1528.5714285714287,23571.428571428572,0.0,19542.85714285714,0.0,688571.4285714285,0.0,0.0,0.0,142.14285714285714,0.0,3332857.1428571427,0.0,0.0,0.0,0.0,1922.857142857143,0.0,136657.14285714287,0.0,0.0,0.0,0.0,0.0,0.0,10.442857142857141,0.0,0.0,0.0,0.0,40.042857142857144,0.0,0.0,0.0,0.0,0.0,0.0,617571.4285714285,40.65714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
COTE-D'OR,2.8134207926415504,2022.2142857142858,1520714.2857142857,589600.0,104457.14285714286,0.0,115.75714285714285,16657.14285714286,1999.142857142857,0.0,0.0,0.0,209200.0,152285.7142857143,0.0,382.7857142857143,56.271428571428565,7.171428571428572,39.1,0.0,31.900000000000002,440928.5714285714,3957.1428571428573,0.0,0.0,466671.4285714286,231600.0,760285.7142857143,1307.142857142857,0.0,0.0,0.6042857142857143,0.0,220857.14285714287,0.6057142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.442857142857143e-05,708.5714285714286,14.846142857142857,0.0,0.0,770.5214285714285,0.0,1.6285714285714286,0.0,0.0,71.57142857142857,0.0,0.0,0.0,0.0,2.9614285714285713,0.0,0.0,0.0,0.0,0.0,10467.185714285715,651.4285714285714,0.0,0.0,6.0,2538.5714285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
